1,sxvnjhpd,dxvcrastvybcw,mgnykrxvzxkgxts,sjdgyluegqfl,QL,123456789,0.1022,300000.0
2,cfljbep,wfnsomyarhaopufojhh,xehxjbhwgsm,jgnlonjvxzxzozitkx,BO,123456789,0.0965,300000.0
3,wdjmcbosy,qkcprrdczwmrl,xblgqprpgrn,aqoosvxpkjpj,AV,123456789,0.1779,300000.0
4,qccrxfrr,llhwhohfgcfwpndlmw,sshwxqqyka,aawcmxylmza,GD,123456789,0.0719,300000.0
5,skktees,mprhrovkumpsxhelid,eoohoihegjoazbvpumc,shgxzyxxqruicrij,QE,123456789,0.0661,300000.0
6,bwaxabqr,rugzjuuvfyqov,dedxyfprlgsgzxsn,avodtjksqwhn,VP,123456789,0.1625,300000.0
7,amzkoudtw,iorjscziqypczmb,wkdikokyngwpxzwmkr,cmbxkfuil,DH,123456789,0.181,300000.0
8,fxrfao,rugdflpdlh,xcxcuplwgdpphemjgm,vmfqqfvcupofywldue,IC,123456789,0.18,300000.0
9,pzkhk,mcjvwvktxbkapwap,nueznwnwdc,cdrlpiphjqqkmofdqs,KK,123456789,0.0899,300000.0
10,urfbor,lbpcbiwts,nprbnittkjywahwg,zynusfispiyp,OG,123456789,0.078,300000.0
